system:index,id,.geo
1_1_LT05_022039_20000925,1_1_LT05_022039_20000925,
1_1_LT05_022039_20001011,1_1_LT05_022039_20001011,
1_1_LT05_022039_20001027,1_1_LT05_022039_20001027,
1_1_LT05_022039_20001128,1_1_LT05_022039_20001128,
1_1_LT05_022039_20001214,1_1_LT05_022039_20001214,
1_1_LT05_022039_20001230,1_1_LT05_022039_20001230,
1_1_LT05_022039_20010131,1_1_LT05_022039_20010131,
1_1_LT05_022039_20010304,1_1_LT05_022039_20010304,
1_1_LT05_022039_20010405,1_1_LT05_022039_20010405,
1_1_LT05_022039_20010421,1_1_LT05_022039_20010421,
1_1_LT05_022039_20010507,1_1_LT05_022039_20010507,
1_1_LT05_022039_20010523,1_1_LT05_022039_20010523,
1_1_LT05_022039_20010624,1_1_LT05_022039_20010624,
1_1_LT05_022039_20010710,1_1_LT05_022039_20010710,
1_1_LT05_022039_20010827,1_1_LT05_022039_20010827,
1_1_LT05_022039_20010912,1_1_LT05_022039_20010912,
1_1_LT05_022039_20010928,1_1_LT05_022039_20010928,
1_1_LT05_022039_20011014,1_1_LT05_022039_20011014,
1_1_LT05_022039_20011030,1_1_LT05_022039_20011030,
1_1_LT05_022039_20011115,1_1_LT05_022039_20011115,
1_1_LT05_022039_20011201,1_1_LT05_022039_20011201,
1_1_LT05_022039_20020118,1_1_LT05_022039_20020118,
1_1_LT05_022039_20020219,1_1_LT05_022039_20020219,
1_1_LT05_022039_20020510,1_1_LT05_022039_20020510,
1_1_LT05_022039_20020526,1_1_LT05_022039_20020526,
1_1_LT05_022039_20020611,1_1_LT05_022039_20020611,
1_1_LT05_022039_20020627,1_1_LT05_022039_20020627,
1_1_LT05_022039_20020713,1_1_LT05_022039_20020713,
1_1_LT05_022039_20020729,1_1_LT05_022039_20020729,
1_1_LT05_022039_20020814,1_1_LT05_022039_20020814,
1_1_LT05_022039_20020830,1_1_LT05_022039_20020830,
1_1_LT05_022039_20020915,1_1_LT05_022039_20020915,
1_1_LT05_022039_20021001,1_1_LT05_022039_20021001,
1_1_LT05_022039_20021017,1_1_LT05_022039_20021017,
1_1_LT05_022039_20021102,1_1_LT05_022039_20021102,
1_1_LT05_022039_20021118,1_1_LT05_022039_20021118,
1_1_LT05_022039_20021204,1_1_LT05_022039_20021204,
1_1_LT05_022039_20021220,1_1_LT05_022039_20021220,
1_1_LT05_022039_20030105,1_1_LT05_022039_20030105,
1_1_LT05_022039_20030121,1_1_LT05_022039_20030121,
1_1_LT05_022039_20030310,1_1_LT05_022039_20030310,
1_1_LT05_022039_20030411,1_1_LT05_022039_20030411,
1_1_LT05_022039_20030427,1_1_LT05_022039_20030427,
1_1_LT05_022039_20030513,1_1_LT05_022039_20030513,
1_1_LT05_022039_20030529,1_1_LT05_022039_20030529,
1_1_LT05_022039_20030614,1_1_LT05_022039_20030614,
1_1_LT05_022039_20030716,1_1_LT05_022039_20030716,
1_1_LT05_022039_20030801,1_1_LT05_022039_20030801,
1_1_LT05_022039_20030817,1_1_LT05_022039_20030817,
1_1_LT05_022039_20030902,1_1_LT05_022039_20030902,
1_1_LT05_022039_20030918,1_1_LT05_022039_20030918,
1_1_LT05_022039_20031004,1_1_LT05_022039_20031004,
1_1_LT05_022039_20031020,1_1_LT05_022039_20031020,
1_1_LT05_022039_20031105,1_1_LT05_022039_20031105,
1_1_LT05_022039_20031121,1_1_LT05_022039_20031121,
1_1_LT05_022039_20031207,1_1_LT05_022039_20031207,
1_1_LT05_022039_20040209,1_1_LT05_022039_20040209,
1_1_LT05_022039_20040312,1_1_LT05_022039_20040312,
1_1_LT05_022039_20040328,1_1_LT05_022039_20040328,
1_1_LT05_022039_20040531,1_1_LT05_022039_20040531,
1_1_LT05_022039_20040616,1_1_LT05_022039_20040616,
1_1_LT05_022039_20040718,1_1_LT05_022039_20040718,
1_1_LT05_022039_20040803,1_1_LT05_022039_20040803,
1_1_LT05_022039_20040819,1_1_LT05_022039_20040819,
1_1_LT05_022039_20040904,1_1_LT05_022039_20040904,
1_1_LT05_022039_20040920,1_1_LT05_022039_20040920,
1_1_LT05_022039_20041006,1_1_LT05_022039_20041006,
1_1_LT05_022039_20041022,1_1_LT05_022039_20041022,
1_1_LT05_022039_20041107,1_1_LT05_022039_20041107,
1_1_LT05_022039_20041123,1_1_LT05_022039_20041123,
1_1_LT05_022039_20050110,1_1_LT05_022039_20050110,
1_1_LT05_022039_20050211,1_1_LT05_022039_20050211,
1_1_LT05_022039_20050416,1_1_LT05_022039_20050416,
1_1_LT05_022039_20050502,1_1_LT05_022039_20050502,
1_1_LT05_022039_20050518,1_1_LT05_022039_20050518,
1_1_LT05_022039_20050603,1_1_LT05_022039_20050603,
1_1_LT05_022039_20050619,1_1_LT05_022039_20050619,
1_1_LT05_022039_20050721,1_1_LT05_022039_20050721,
1_1_LT05_022039_20050806,1_1_LT05_022039_20050806,
1_1_LT05_022039_20050822,1_1_LT05_022039_20050822,
1_1_LT05_022039_20050907,1_1_LT05_022039_20050907,
1_1_LT05_022039_20051009,1_1_LT05_022039_20051009,
1_1_LT05_022039_20051025,1_1_LT05_022039_20051025,
