system:index,id,.geo
1_1_LT05_036034_20030702,1_1_LT05_036034_20030702,
1_1_LT05_036034_20030718,1_1_LT05_036034_20030718,
1_1_LT05_036034_20030803,1_1_LT05_036034_20030803,
1_1_LT05_036034_20030819,1_1_LT05_036034_20030819,
1_1_LT05_036034_20030904,1_1_LT05_036034_20030904,
1_1_LT05_036034_20031006,1_1_LT05_036034_20031006,
1_1_LT05_036034_20031022,1_1_LT05_036034_20031022,
1_1_LT05_036034_20040501,1_1_LT05_036034_20040501,
1_1_LT05_036034_20040517,1_1_LT05_036034_20040517,
1_1_LT05_036034_20040602,1_1_LT05_036034_20040602,
1_1_LT05_036034_20040618,1_1_LT05_036034_20040618,
1_1_LT05_036034_20040704,1_1_LT05_036034_20040704,
1_1_LT05_036034_20040720,1_1_LT05_036034_20040720,
1_1_LT05_036034_20040805,1_1_LT05_036034_20040805,
1_1_LT05_036034_20040821,1_1_LT05_036034_20040821,
1_1_LT05_036034_20040906,1_1_LT05_036034_20040906,
1_1_LT05_036034_20040922,1_1_LT05_036034_20040922,
1_1_LT05_036034_20041008,1_1_LT05_036034_20041008,
1_1_LT05_036034_20041024,1_1_LT05_036034_20041024,
1_1_LT05_036034_20050504,1_1_LT05_036034_20050504,
1_1_LT05_036034_20050520,1_1_LT05_036034_20050520,
1_1_LT05_036034_20050605,1_1_LT05_036034_20050605,
1_1_LT05_036034_20050621,1_1_LT05_036034_20050621,
1_1_LT05_036034_20050707,1_1_LT05_036034_20050707,
1_1_LT05_036034_20050723,1_1_LT05_036034_20050723,
1_1_LT05_036034_20050808,1_1_LT05_036034_20050808,
1_1_LT05_036034_20050824,1_1_LT05_036034_20050824,
1_1_LT05_036034_20050909,1_1_LT05_036034_20050909,
1_1_LT05_036034_20050925,1_1_LT05_036034_20050925,
1_1_LT05_036034_20051011,1_1_LT05_036034_20051011,
1_1_LT05_036034_20060507,1_1_LT05_036034_20060507,
1_1_LT05_036034_20060523,1_1_LT05_036034_20060523,
1_1_LT05_036034_20060624,1_1_LT05_036034_20060624,
1_1_LT05_036034_20060726,1_1_LT05_036034_20060726,
1_1_LT05_036034_20060811,1_1_LT05_036034_20060811,
1_1_LT05_036034_20060827,1_1_LT05_036034_20060827,
1_1_LT05_036034_20060912,1_1_LT05_036034_20060912,
1_1_LT05_036034_20060928,1_1_LT05_036034_20060928,
1_1_LT05_036034_20070526,1_1_LT05_036034_20070526,
1_1_LT05_036034_20070611,1_1_LT05_036034_20070611,
1_1_LT05_036034_20070627,1_1_LT05_036034_20070627,
1_1_LT05_036034_20070713,1_1_LT05_036034_20070713,
1_1_LT05_036034_20070729,1_1_LT05_036034_20070729,
1_1_LT05_036034_20070814,1_1_LT05_036034_20070814,
1_1_LT05_036034_20070830,1_1_LT05_036034_20070830,
1_1_LT05_036034_20070915,1_1_LT05_036034_20070915,
1_1_LT05_036034_20071001,1_1_LT05_036034_20071001,
1_1_LT05_036034_20080512,1_1_LT05_036034_20080512,
1_1_LT05_036034_20080528,1_1_LT05_036034_20080528,
1_1_LT05_036034_20080629,1_1_LT05_036034_20080629,
1_1_LT05_036034_20080715,1_1_LT05_036034_20080715,
1_1_LT05_036034_20080731,1_1_LT05_036034_20080731,
1_1_LT05_036034_20080816,1_1_LT05_036034_20080816,
1_1_LT05_036034_20080901,1_1_LT05_036034_20080901,
1_1_LT05_036034_20080917,1_1_LT05_036034_20080917,
1_1_LT05_036034_20081003,1_1_LT05_036034_20081003,
1_1_LT05_036034_20081019,1_1_LT05_036034_20081019,
1_1_LT05_036034_20090515,1_1_LT05_036034_20090515,
1_1_LT05_036034_20090531,1_1_LT05_036034_20090531,
1_1_LT05_036034_20090616,1_1_LT05_036034_20090616,
1_1_LT05_036034_20090702,1_1_LT05_036034_20090702,
1_1_LT05_036034_20090718,1_1_LT05_036034_20090718,
1_1_LT05_036034_20090803,1_1_LT05_036034_20090803,
1_1_LT05_036034_20090819,1_1_LT05_036034_20090819,
1_1_LT05_036034_20090904,1_1_LT05_036034_20090904,
1_1_LT05_036034_20090920,1_1_LT05_036034_20090920,
1_1_LT05_036034_20091006,1_1_LT05_036034_20091006,
1_1_LT05_036034_20091022,1_1_LT05_036034_20091022,
1_1_LT05_036034_20100502,1_1_LT05_036034_20100502,
1_1_LT05_036034_20100518,1_1_LT05_036034_20100518,
1_1_LT05_036034_20100603,1_1_LT05_036034_20100603,
1_1_LT05_036034_20100619,1_1_LT05_036034_20100619,
1_1_LT05_036034_20100705,1_1_LT05_036034_20100705,
1_1_LT05_036034_20100721,1_1_LT05_036034_20100721,
1_1_LT05_036034_20100806,1_1_LT05_036034_20100806,
1_1_LT05_036034_20100907,1_1_LT05_036034_20100907,
1_1_LT05_036034_20100923,1_1_LT05_036034_20100923,
1_1_LT05_036034_20101009,1_1_LT05_036034_20101009,
1_1_LT05_036034_20110505,1_1_LT05_036034_20110505,
1_1_LT05_036034_20110521,1_1_LT05_036034_20110521,
1_1_LT05_036034_20110606,1_1_LT05_036034_20110606,
1_1_LT05_036034_20110622,1_1_LT05_036034_20110622,
1_1_LT05_036034_20110708,1_1_LT05_036034_20110708,
1_1_LT05_036034_20110724,1_1_LT05_036034_20110724,
1_1_LT05_036034_20110809,1_1_LT05_036034_20110809,
1_1_LT05_036034_20110825,1_1_LT05_036034_20110825,
1_1_LT05_036034_20110910,1_1_LT05_036034_20110910,
1_1_LT05_036034_20110926,1_1_LT05_036034_20110926,
1_1_LT05_036034_20111012,1_1_LT05_036034_20111012,
1_1_LT05_037034_19840501,1_1_LT05_037034_19840501,
1_1_LT05_037034_19840602,1_1_LT05_037034_19840602,
1_1_LT05_037034_19840618,1_1_LT05_037034_19840618,
1_1_LT05_037034_19840704,1_1_LT05_037034_19840704,
1_1_LT05_037034_19840720,1_1_LT05_037034_19840720,
1_1_LT05_037034_19840922,1_1_LT05_037034_19840922,
1_1_LT05_037034_19850504,1_1_LT05_037034_19850504,
1_1_LT05_037034_19850520,1_1_LT05_037034_19850520,
1_1_LT05_037034_19850605,1_1_LT05_037034_19850605,
1_1_LT05_037034_19850621,1_1_LT05_037034_19850621,
1_1_LT05_037034_19850723,1_1_LT05_037034_19850723,
1_1_LT05_037034_19850808,1_1_LT05_037034_19850808,
1_1_LT05_037034_19850824,1_1_LT05_037034_19850824,
1_1_LT05_037034_19850925,1_1_LT05_037034_19850925,
1_1_LT05_037034_19851011,1_1_LT05_037034_19851011,
1_1_LT05_037034_19851027,1_1_LT05_037034_19851027,
1_1_LT05_037034_19860507,1_1_LT05_037034_19860507,
1_1_LT05_037034_19860523,1_1_LT05_037034_19860523,
1_1_LT05_037034_19860608,1_1_LT05_037034_19860608,
1_1_LT05_037034_19860624,1_1_LT05_037034_19860624,
1_1_LT05_037034_19860710,1_1_LT05_037034_19860710,
1_1_LT05_037034_19860726,1_1_LT05_037034_19860726,
1_1_LT05_037034_19860811,1_1_LT05_037034_19860811,
1_1_LT05_037034_19860827,1_1_LT05_037034_19860827,
1_1_LT05_037034_19860912,1_1_LT05_037034_19860912,
1_1_LT05_037034_19861014,1_1_LT05_037034_19861014,
1_1_LT05_037034_19870510,1_1_LT05_037034_19870510,
1_1_LT05_037034_19870526,1_1_LT05_037034_19870526,
1_1_LT05_037034_19870611,1_1_LT05_037034_19870611,
1_1_LT05_037034_19870627,1_1_LT05_037034_19870627,
1_1_LT05_037034_19870713,1_1_LT05_037034_19870713,
1_1_LT05_037034_19870729,1_1_LT05_037034_19870729,
1_1_LT05_037034_19870814,1_1_LT05_037034_19870814,
1_1_LT05_037034_19870830,1_1_LT05_037034_19870830,
1_1_LT05_037034_19870915,1_1_LT05_037034_19870915,
1_1_LT05_037034_19871001,1_1_LT05_037034_19871001,
1_1_LT05_037034_19871017,1_1_LT05_037034_19871017,
1_1_LT05_037034_19880512,1_1_LT05_037034_19880512,
1_1_LT05_037034_19880528,1_1_LT05_037034_19880528,
1_1_LT05_037034_19880613,1_1_LT05_037034_19880613,
1_1_LT05_037034_19880629,1_1_LT05_037034_19880629,
1_1_LT05_037034_19880715,1_1_LT05_037034_19880715,
1_1_LT05_037034_19880731,1_1_LT05_037034_19880731,
1_1_LT05_037034_19880901,1_1_LT05_037034_19880901,
1_1_LT05_037034_19880917,1_1_LT05_037034_19880917,
1_1_LT05_037034_19881003,1_1_LT05_037034_19881003,
1_1_LT05_037034_19881019,1_1_LT05_037034_19881019,
1_1_LT05_037034_19890515,1_1_LT05_037034_19890515,
1_1_LT05_037034_19890531,1_1_LT05_037034_19890531,
1_1_LT05_037034_19890616,1_1_LT05_037034_19890616,
1_1_LT05_037034_19890702,1_1_LT05_037034_19890702,
1_1_LT05_037034_19890718,1_1_LT05_037034_19890718,
1_1_LT05_037034_19890803,1_1_LT05_037034_19890803,
1_1_LT05_037034_19890819,1_1_LT05_037034_19890819,
1_1_LT05_037034_19890904,1_1_LT05_037034_19890904,
1_1_LT05_037034_19890920,1_1_LT05_037034_19890920,
1_1_LT05_037034_19891006,1_1_LT05_037034_19891006,
1_1_LT05_037034_19891022,1_1_LT05_037034_19891022,
1_1_LT05_037034_19900502,1_1_LT05_037034_19900502,
1_1_LT05_037034_19900518,1_1_LT05_037034_19900518,
1_1_LT05_037034_19900603,1_1_LT05_037034_19900603,
1_1_LT05_037034_19900619,1_1_LT05_037034_19900619,
1_1_LT05_037034_19900822,1_1_LT05_037034_19900822,
1_1_LT05_037034_19900907,1_1_LT05_037034_19900907,
1_1_LT05_037034_19901009,1_1_LT05_037034_19901009,
1_1_LT05_037034_19901025,1_1_LT05_037034_19901025,
1_1_LT05_037034_19910505,1_1_LT05_037034_19910505,
1_1_LT05_037034_19910521,1_1_LT05_037034_19910521,
1_1_LT05_037034_19910606,1_1_LT05_037034_19910606,
1_1_LT05_037034_19910622,1_1_LT05_037034_19910622,
1_1_LT05_037034_19910708,1_1_LT05_037034_19910708,
1_1_LT05_037034_19910724,1_1_LT05_037034_19910724,
1_1_LT05_037034_19910809,1_1_LT05_037034_19910809,
1_1_LT05_037034_19910825,1_1_LT05_037034_19910825,
1_1_LT05_037034_19910910,1_1_LT05_037034_19910910,
1_1_LT05_037034_19910926,1_1_LT05_037034_19910926,
1_1_LT05_037034_19911012,1_1_LT05_037034_19911012,
1_1_LT05_037034_19920507,1_1_LT05_037034_19920507,
1_1_LT05_037034_19920523,1_1_LT05_037034_19920523,
1_1_LT05_037034_19920608,1_1_LT05_037034_19920608,
1_1_LT05_037034_19920624,1_1_LT05_037034_19920624,
1_1_LT05_037034_19920710,1_1_LT05_037034_19920710,
1_1_LT05_037034_19920726,1_1_LT05_037034_19920726,
1_1_LT05_037034_19920827,1_1_LT05_037034_19920827,
1_1_LT05_037034_19920912,1_1_LT05_037034_19920912,
1_1_LT05_037034_19920928,1_1_LT05_037034_19920928,
1_1_LT05_037034_19921014,1_1_LT05_037034_19921014,
1_1_LT05_037034_19930510,1_1_LT05_037034_19930510,
1_1_LT05_037034_19930526,1_1_LT05_037034_19930526,
1_1_LT05_037034_19930611,1_1_LT05_037034_19930611,
1_1_LT05_037034_19930627,1_1_LT05_037034_19930627,
1_1_LT05_037034_19930713,1_1_LT05_037034_19930713,
1_1_LT05_037034_19930729,1_1_LT05_037034_19930729,
1_1_LT05_037034_19930814,1_1_LT05_037034_19930814,
1_1_LT05_037034_19930830,1_1_LT05_037034_19930830,
1_1_LT05_037034_19931001,1_1_LT05_037034_19931001,
1_1_LT05_037034_19931017,1_1_LT05_037034_19931017,
1_1_LT05_037034_19940513,1_1_LT05_037034_19940513,
1_1_LT05_037034_19940529,1_1_LT05_037034_19940529,
1_1_LT05_037034_19940614,1_1_LT05_037034_19940614,
1_1_LT05_037034_19940630,1_1_LT05_037034_19940630,
1_1_LT05_037034_19940716,1_1_LT05_037034_19940716,
1_1_LT05_037034_19940801,1_1_LT05_037034_19940801,
1_1_LT05_037034_19940817,1_1_LT05_037034_19940817,
1_1_LT05_037034_19940902,1_1_LT05_037034_19940902,
1_1_LT05_037034_19940918,1_1_LT05_037034_19940918,
1_1_LT05_037034_19941004,1_1_LT05_037034_19941004,
1_1_LT05_037034_19941020,1_1_LT05_037034_19941020,
1_1_LT05_037034_19950430,1_1_LT05_037034_19950430,
1_1_LT05_037034_19950516,1_1_LT05_037034_19950516,
1_1_LT05_037034_19950601,1_1_LT05_037034_19950601,
1_1_LT05_037034_19950617,1_1_LT05_037034_19950617,
1_1_LT05_037034_19950703,1_1_LT05_037034_19950703,
1_1_LT05_037034_19950719,1_1_LT05_037034_19950719,
1_1_LT05_037034_19950804,1_1_LT05_037034_19950804,
1_1_LT05_037034_19950820,1_1_LT05_037034_19950820,
1_1_LT05_037034_19950905,1_1_LT05_037034_19950905,
1_1_LT05_037034_19950921,1_1_LT05_037034_19950921,
1_1_LT05_037034_19951007,1_1_LT05_037034_19951007,
1_1_LT05_037034_19960502,1_1_LT05_037034_19960502,
1_1_LT05_037034_19960518,1_1_LT05_037034_19960518,
1_1_LT05_037034_19960603,1_1_LT05_037034_19960603,
1_1_LT05_037034_19960619,1_1_LT05_037034_19960619,
1_1_LT05_037034_19960705,1_1_LT05_037034_19960705,
1_1_LT05_037034_19960721,1_1_LT05_037034_19960721,
1_1_LT05_037034_19960806,1_1_LT05_037034_19960806,
1_1_LT05_037034_19960822,1_1_LT05_037034_19960822,
1_1_LT05_037034_19960907,1_1_LT05_037034_19960907,
